assetKey,projectKey,locationKey
ChinaBlock 22/24,ChinaBlock 22/24,ChinaBlock 22/24
ChinaKumux West,ChinaKumux West,ChinaKumux West
ChinaKaixian-Liangping (Heba 1),ChinaKaixian-Liangping (Heba 1),ChinaKaixian-Liangping (Heba)
ChinaMalang South Margin,ChinaMalang South Margin,ChinaMalang South Margin
ChinaSebei 1,ChinaSebei 1,ChinaSebei 1
ChinaYidong,ChinaYidong,ChinaYidong
ChinaGunan,ChinaGunan,ChinaGunan
ChinaZhengjia,ChinaZhengjia,ChinaZhengjia
ChinaXingou Field Xin 1 Block,ChinaXingou Field Xin 1 Block,ChinaXingou Field Xin 1 Block
ChinaAnfeng YTF,ChinaAnfeng YTF,ChinaAnfeng
ChinaGaochang,ChinaGaochang,ChinaGaochang
ChinaPSCA Min-114,ChinaPSCA Min-114,ChinaPSCA Min-114
ChinaDanjiasi,ChinaDanjiasi,ChinaDanjiasi
ChinaUlungur North,ChinaUlungur North,ChinaUlungur North
ChinaMohe,ChinaMohe,ChinaMohe
ChinaDayangshu Central,ChinaDayangshu Central,ChinaDayangshu Central
ChinaXiamen 28,ChinaXiamen 28,ChinaXiamen 28
ChinaSongtao 22,ChinaSongtao 22,ChinaSongtao 22
ChinaLongwantong,ChinaLongwantong,ChinaLongwantong
ChinaBaiyanjing YTF,ChinaBaiyanjing YTF,ChinaBaiyanjing
ChinaHewan,ChinaHewan,ChinaHewan
ChinaShashi Field Sha 27 Block,ChinaShashi Field Sha 27 Block,ChinaShashi Field Sha 27 Block
ChinaZhouji Field Zhou 16 Block,ChinaZhouji Field Zhou 16 Block,ChinaZhouji Field Zhou 16 Block
ChinaShaoxing 10,ChinaShaoxing 10,ChinaShaoxing 10
ChinaChangchunling YTF,ChinaChangchunling YTF,ChinaChangchunling
ChinaLingao 11,ChinaLingao 11,ChinaLingao 11
ChinaNiujialiang,ChinaNiujialiang,ChinaNiujialiang
ChinaLingao 15,ChinaLingao 15,ChinaLingao 15
ChinaOtog Qi (E-12),ChinaOtog Qi (E-12),ChinaOtog Qi (E-12)
ChinaSanchunji,ChinaSanchunji,ChinaSanchunji
ChinaGaoxi YTF,ChinaGaoxi YTF,ChinaGaoxi
ChinaWangjiatun YTF,ChinaWangjiatun YTF,ChinaWangjiatun
ChinaMahatu,ChinaMahatu,ChinaMahatu
ChinaYanling Field,ChinaYanling Field,ChinaYanling Field
ChinaSikeshu South,ChinaSikeshu South,ChinaSikeshu South
ChinaJiannan Production,ChinaJiannan Production,ChinaJiannan Production
ChinaBlock 05/31,ChinaBlock 05/31,ChinaBlock 05/31
ChinaBlock 17/06,ChinaBlock 17/06,ChinaBlock 17/06
ChinaBlock 42/14,ChinaBlock 42/14,ChinaBlock 42/14
ChinaBlock 27/12,ChinaBlock 27/12,ChinaBlock 27/12
ChinaPSCA 11/26 (Bo Zhong 28-2-1),ChinaPSCA 11/26 (Bo Zhong 28-2-1),ChinaPSCA 11/26 (Bo Zhong 28-2-1)
ChinaBlock 04/20,ChinaBlock 04/20,ChinaBlock 04/20
ChinaPY35-2 Structure (below the Gas2),ChinaPY35-2 Structure (below the Gas2),ChinaPY35-2 Structure (below the Gas2)
ChinaBlock 41/25,ChinaBlock 41/25,ChinaBlock 41/25
ChinaTadongbei 1,ChinaTadongbei 1,ChinaTadongbei 1
ChinaWeibei Sag,ChinaWeibei Sag,ChinaWeibei Sag
ChinaWeibei Uplift,ChinaWeibei Uplift,ChinaWeibei Uplift
ChinaMazartag,ChinaMazartag,ChinaMazartag
ChinaTiefa,ChinaTiefa,ChinaTiefa
ChinaGaotaizi,ChinaGaotaizi,ChinaGaotaizi
ChinaYangtake Production,ChinaYangtake Production,ChinaYangtake Production
ChinaYutian South,ChinaYutian South,ChinaYutian South
ChinaShangzhenzi,ChinaShangzhenzi,ChinaShangzhenzi
ChinaQianjiadian,ChinaQianjiadian,ChinaQianjiadian
ChinaYingshan-Wangfu,ChinaYingshan-Wangfu,ChinaYingshan-Wangfu
ChinaQijia YTF,ChinaQijia YTF,ChinaQijia
ChinaHeshui,ChinaHeshui,ChinaHeshui
ChinaTaonan,ChinaTaonan,ChinaTaonan
ChinaIh Us,ChinaIh Us,ChinaIh Us
ChinaChengdong Production,ChinaChengdong Production,ChinaChengdong Production
ChinaShenglijing North,ChinaShenglijing North,ChinaShenglijing North
ChinaBlock 16/25,ChinaBlock 16/25,ChinaBlock 16/25
ChinaXile,ChinaXile,ChinaXile
ChinaBohu South,ChinaBohu South,ChinaBohu South
ChinaShaojia,ChinaShaojia,ChinaShaojia
ChinaHetingwopu Production,ChinaHetingwopu Production,ChinaHetingwopu Production
ChinaDaihe YTF,ChinaDaihe YTF,ChinaDaihe
ChinaHahantumiao,ChinaHahantumiao,ChinaHahantumiao
ChinaNiuzhuang,ChinaNiuzhuang,ChinaNiuzhuang
ChinaYangerzhuang,ChinaYangerzhuang,ChinaYangerzhuang
ChinaChenghao YTF,ChinaChenghao YTF,ChinaChenghao
ChinaHefei 1,ChinaHefei 1,ChinaHefei 1
ChinaNanping 14 (Shimentan),ChinaNanping 14 (Shimentan),ChinaNanping 14 (Shimentan)
ChinaBlock 11/05,ChinaXijiang 24-3 Field,ChinaXijiang 24-3 Field
ChinaZhoujiatai,ChinaZhoujiatai,ChinaZhoujiatai
ChinaSanjiang Basin East,ChinaSanjiang Basin East,ChinaSanjiang Basin East
ChinaWutaohe,ChinaWutaohe,ChinaWutaohe
ChinaXiji,ChinaXiji,ChinaXiji
ChinaTainan,ChinaTainan,ChinaTainan
ChinaXifeng East,ChinaXifeng East,ChinaXifeng East
ChinaWuyuan,ChinaWuyuan,ChinaWuyuan
ChinaQagan Tolgoi,ChinaQagan Tolgoi,ChinaQagan Tolgoi
ChinaChangqing North,ChinaChangqing North,ChinaChangqing North
ChinaChangqing South,ChinaChangqing South,ChinaChangqing South
China04/20 North,China04/20 North,China04/20 North
ChinaLingtou 20,ChinaLingtou 20,ChinaLingtou 20
ChinaYongren Sag,ChinaYongren Sag,ChinaYongren Sag
ChinaHongze (Guan-3),ChinaHongze (Guan-3),ChinaHongze (Guan-3)
ChinaTazhong 4 YTF,ChinaTazhong 4 YTF,ChinaTazhong 4
ChinaLuobuzhuang East,ChinaLuobuzhuang East,ChinaLuobuzhuang East
ChinaTahe 3,ChinaTahe 3,ChinaTahe 3
ChinaTiergen YTF,ChinaTiergen YTF,ChinaTiergen
ChinaMinfeng,ChinaMinfeng,ChinaMinfeng
ChinaShache South,ChinaShache South,ChinaShache South
ChinaEjin Horo Qi,ChinaEjin Horo Qi,ChinaEjin Horo Qi
ChinaHongnan YTF,ChinaHongnan YTF,ChinaHongnan
ChinaYanhe YTF,ChinaYanhe YTF,ChinaYanhe
ChinaYushuxi (Yushen-2),ChinaYushuxi (Yushen-2),ChinaYushuxi (Yushen-2)
ChinaQiannan Depression,ChinaQiannan Depression,ChinaQiannan Depression
ChinaZhaodong,ChinaZhaodong,ChinaZhaodong
ChinaDehui Sag,ChinaDehui Sag,ChinaDehui Sag
ChinaSongfangtun YTF,ChinaSongfangtun YTF,ChinaSongfangtun
China04/20 West,China04/20 West,China04/20 West
ChinaLinpan,ChinaLinpan,ChinaLinpan
ChinaBinnan,ChinaBinnan,ChinaBinnan
ChinaHetan,ChinaHetan,ChinaHetan
ChinaWendeng 31,ChinaWendeng 31,ChinaWendeng 31
ChinaHohhot,ChinaHohhot,ChinaHohhot
ChinaFuxian,ChinaFuxian,ChinaFuxian
ChinaOrxon (Wu-20),ChinaOrxon (Wu-20),ChinaOrxon (Wu-20)
ChinaDaba,ChinaDaba,ChinaDaba
ChinaYangdachengzi,ChinaYangdachengzi,ChinaYangdachengzi
ChinaKaramay,ChinaKaramay,ChinaKaramay
ChinaWuhaozhuang,ChinaWuhaozhuang,ChinaWuhaozhuang
ChinaHuahai,ChinaHuahai,ChinaHuahai
ChinaYanji East,ChinaYanji East,ChinaYanji East
ChinaNiuxintuo YTF,ChinaNiuxintuo YTF,ChinaNiuxintuo
ChinaPaizhou,ChinaPaizhou,ChinaPaizhou
ChinaHailisu,ChinaHailisu,ChinaHailisu
ChinaNanhu-Fanzhuang,ChinaNanhu-Fanzhuang,ChinaNanhu-Fanzhuang
ChinaKunteyi,ChinaKunteyi,ChinaKunteyi
ChinaNan Qaganhudug,ChinaNan Qaganhudug,ChinaNan Qaganhudug
ChinaMinle,ChinaMinle,ChinaMinle
ChinaYingnan,ChinaYingnan,ChinaYingnan
ChinaGudian YTF,ChinaGudian YTF,ChinaGudian
ChinaHefei 2,ChinaHefei 2,ChinaHefei 2
ChinaHaituozi YTF,ChinaHaituozi YTF,ChinaHaituozi
ChinaPingfangwang,ChinaPingfangwang,ChinaPingfangwang
ChinaQiqihar,ChinaQiqihar,ChinaQiqihar
ChinaSuihua,ChinaSuihua,ChinaSuihua
ChinaHuaxingzhen Block 2,ChinaHuaxingzhen Block 2,ChinaHuaxingzhen Block 2
ChinaHuachang-Qianqihao,ChinaHuachang-Qianqihao,ChinaHuachang-Qianqihao
ChinaLishu Shiwu Block 1 (Pijia),ChinaLishu Shiwu Block 1 (Pijia),ChinaLishu Shiwu Block 1 (Pijia)
ChinaGujiazi YTF,ChinaGujiazi YTF,ChinaGujiazi
ChinaCentral Junggar 2,ChinaCentral Junggar 2,ChinaCentral Junggar 2
ChinaHami,ChinaHami,ChinaHami
ChinaUrad Zhongqi,ChinaUrad Zhongqi,ChinaUrad Zhongqi
ChinaYecheng,ChinaYecheng,ChinaYecheng
ChinaQiaozhuang,ChinaQiaozhuang,ChinaQiaozhuang
ChinaXuwen 05,ChinaXuwen 05,ChinaXuwen 05
China32/32 West,China32/32 West,China32/32 West
ChinaYudong III,ChinaYudong III,ChinaYudong III
ChinaRong Chang Bei Shale,ChinaRong Chang Bei Shale,ChinaRong Chang Bei Shale
ChinaQinggang,ChinaQinggang,ChinaQinggang
ChinaShuangliao,ChinaShuangliao,ChinaShuangliao
ChinaDalad Qi West,ChinaDalad Qi West,ChinaDalad Qi West
ChinaTaihu,ChinaTaihu,ChinaTaihu
ChinaMahai-Nanbaxian,ChinaMahai-Nanbaxian,ChinaMahai-Nanbaxian
ChinaHulin,ChinaHulin,ChinaHulin
ChinaXiaermen,ChinaXiaermen,ChinaXiaermen
ChinaPSCA Qian-130,ChinaPSCA Qian-130,ChinaPSCA Qian-130
ChinaTuoshi YTF,ChinaTuoshi YTF,ChinaTuoshi
ChinaSiwujiazi (Sinopec-Star),ChinaSiwujiazi (Sinopec-Star),ChinaSiwujiazi (Sinopec-Star)
ChinaMawangmiao Field Ma 13 Block,ChinaMawangmiao Field Ma 13 Block,ChinaMawangmiao Field Ma 13 Block
ChinaYingjisu East,ChinaYingjisu East,ChinaYingjisu East
ChinaTahe 4,ChinaTahe 4,ChinaTahe 4
ChinaLufeng 08,ChinaLufeng 08,ChinaLufeng 08
ChinaLunxi YTF,ChinaLunxi YTF,ChinaLunxi
ChinaWenjisang-Mideng,ChinaWenjisang-Mideng,ChinaWenjisang-Mideng
ChinaSongzhan,ChinaSongzhan,ChinaSongzhan
ChinaShiyougou Oil,ChinaShiyougou Oil,ChinaShiyougou Oil
ChinaFufeng-Xianyang,ChinaFufeng-Xianyang,ChinaFufeng-Xianyang
ChinaBlock 05/16,ChinaBlock 05/16,ChinaBlock 05/16
ChinaLishubei,ChinaLishubei,ChinaLishubei
ChinaDawa,ChinaDawa,ChinaDawa
ChinaJinteng Block 17,ChinaJinteng Block 17,ChinaJinteng Block 17
ChinaZhongmou,ChinaZhongmou,ChinaZhongmou
ChinaGuyang,ChinaGuyang,ChinaGuyang
ChinaYangcun-Dacheng,ChinaYangcun-Dacheng,ChinaYangcun-Dacheng
ChinaDongfenggang,ChinaDongfenggang,ChinaDongfenggang
ChinaWangjiagang,ChinaWangjiagang,ChinaWangjiagang
ChinaWenliu South,ChinaWenliu South,ChinaWenliu South
ChinaTanbei (Weibei),ChinaTanbei (Weibei),ChinaTanbei (Weibei)
ChinaLaohekou,ChinaLaohekou,ChinaLaohekou
ChinaYonganzhen,ChinaYonganzhen,ChinaYonganzhen
ChinaNiuju,ChinaNiuju,ChinaNiuju
ChinaHuangjindai,ChinaHuangjindai,ChinaHuangjindai
ChinaHaiwaihe YTF,ChinaHaiwaihe YTF,ChinaHaiwaihe
ChinaDapingfang,ChinaDapingfang,ChinaDapingfang
ChinaMachang,ChinaMachang,ChinaMachang
ChinaYanjia YTF,ChinaYanjia YTF,ChinaYanjia
ChinaWangzhuang,ChinaWangzhuang,ChinaWangzhuang
ChinaLuobuzhuang,ChinaLuobuzhuang,ChinaLuobuzhuang
ChinaYengisar-Qimugen,ChinaYengisar-Qimugen,ChinaYengisar-Qimugen
ChinaTadongbei Mandong,ChinaTadongbei Mandong,ChinaTadongbei Mandong
ChinaLagu-Midian,ChinaLagu-Midian,ChinaLagu-Midian
ChinaFuning-Sheyang,ChinaFuning-Sheyang,ChinaFuning-Sheyang
ChinaWande-Yunlong,ChinaWande-Yunlong,ChinaWande-Yunlong
ChinaWutuo Jing,ChinaWutuo Jing,ChinaWutuo Jing
ChinaJianhu-Baoying,ChinaJianhu-Baoying,ChinaJianhu-Baoying
ChinaBaban-Miyen,ChinaBaban-Miyen,ChinaBaban-Miyen
ChinaPuwen,ChinaPuwen,ChinaPuwen
ChinaHuarong-Shuangjiang,ChinaHuarong-Shuangjiang,ChinaHuarong-Shuangjiang
ChinaMengla,ChinaMengla,ChinaMengla
ChinaDongyang-Qiaohekou,ChinaDongyang-Qiaohekou,ChinaDongyang-Qiaohekou
ChinaQintong,ChinaQintong,ChinaQintong
ChinaJiyuan Sag,ChinaJiyuan Sag,ChinaJiyuan Sag
ChinaHuaifu,ChinaHuaifu,ChinaHuaifu
ChinaErshengqiao,ChinaErshengqiao,ChinaErshengqiao
ChinaBaigeng,ChinaBaigeng,ChinaBaigeng
ChinaTanggang-Minqiao,ChinaTanggang-Minqiao,ChinaTanggang-Minqiao
ChinaZhaoao,ChinaZhaoao,ChinaZhaoao
ChinaYaodian,ChinaYaodian,ChinaYaodian
ChinaHefei 3,ChinaHefei 3,ChinaHefei 3
ChinaBlock 17/03,ChinaBlock 17/03,ChinaBlock 17/03
ChinaTianchang,ChinaTianchang,ChinaTianchang
ChinaBlock 27/06,ChinaBlock 27/06,ChinaBlock 27/06
ChinaBlock 30/27,ChinaBlock 30/27,ChinaBlock 30/27
ChinaDongying Block 2 (Wanggu-1),ChinaDongying Block 2 (Wanggu-1),ChinaDongying Block 2 (Wanggu-1)
ChinaDongying Block 1,ChinaDongying Block 1,ChinaDongying Block 1
ChinaXinxian,ChinaXinxian,ChinaXinxian
ChinaBlock 23/08,ChinaBlock 23/08,ChinaBlock 23/08
ChinaQingjian,ChinaQingjian,ChinaQingjian
ChinaUxin Ju,ChinaUxin Ju,ChinaUxin Ju
ChinaJilong 25,ChinaJilong 25,ChinaJilong 25
ChinaYushu Sag,ChinaYushu Sag,ChinaYushu Sag
ChinaXinli YTF,ChinaXinli YTF,ChinaXinli
ChinaE3 Well,ChinaE3 Well,ChinaE3 Well
ChinaKaitemilikai,ChinaKaitemilikai,ChinaKaitemilikai
ChinaBlock 17/18,ChinaBlock 17/18,ChinaBlock 17/18
ChinaDangyang-Zhijiang,ChinaDangyang-Zhijiang,ChinaDangyang-Zhijiang
ChinaChentuokou Sag,ChinaChentuokou Sag,ChinaChentuokou Sag
ChinaQianjiang (Zhong-3X),ChinaQianjiang (Zhong-3X),ChinaQianjiang (Zhong-3X)
ChinaJiangling,ChinaJiangling,ChinaJiangling
ChinaCentral Junggar 1 (Moxizhuang),ChinaCentral Junggar 1 (Moxizhuang),ChinaCentral Junggar 1 (Moxizhuang)
ChinaNiujuanhu,ChinaNiujuanhu,ChinaNiujuanhu
ChinaHersai,ChinaHersai,ChinaHersai
ChinaDongxin,ChinaDongxin,ChinaDongxin
ChinaJia Block 2,ChinaJia Block 2,ChinaJia Block 2
ChinaWenmingzhai,ChinaWenmingzhai,ChinaWenmingzhai
ChinaChaiwopu,ChinaChaiwopu,ChinaChaiwopu
ChinaHefei 4,ChinaHefei 4,ChinaHefei 4
ChinaBaiquan,ChinaBaiquan,ChinaBaiquan
ChinaMofantun YTF,ChinaMofantun YTF,ChinaMofantun
ChinaLenghu 4,ChinaLenghu 4,ChinaLenghu 4
ChinaAgong-Zhuzang,ChinaAgong-Zhuzang,ChinaAgong-Zhuzang
ChinaNingwu South,ChinaNingwu South,ChinaNingwu South
ChinaZhongkouzi,ChinaZhongkouzi,ChinaZhongkouzi
ChinaPSCA Min-47,ChinaPSCA Min-47,ChinaPSCA Min-47
ChinaTazhong YTF,ChinaTazhong YTF,ChinaTazhong
ChinaMinfeng North,ChinaMinfeng North,ChinaMinfeng North
ChinaBaozi East (Dawanqi),ChinaBaozi East (Dawanqi),ChinaBaozi East (Dawanqi)
ChinaXunyi-Ningxian,ChinaXunyi-Ningxian,ChinaXunyi-Ningxian
ChinaLunan Midwest,ChinaLunan Midwest,ChinaLunan Midwest
ChinaGasi-Yingxiongling,ChinaGasi-Yingxiongling,ChinaGasi-Yingxiongling
ChinaTongxin East,ChinaTongxin East,ChinaTongxin East
ChinaShanshan YTF,ChinaShanshan YTF,ChinaShanshan
ChinaZhangqiang,ChinaZhangqiang,ChinaZhangqiang
ChinaChaoyangchuan,ChinaChaoyangchuan,ChinaChaoyangchuan
ChinaMeishan,ChinaMeishan,ChinaMeishan
ChinaKeli,ChinaKeli,ChinaKeli
ChinaShuanghe YTF,ChinaShuanghe YTF,ChinaShuanghe
ChinaE2 Well,ChinaE2 Well,ChinaE2 Well
ChinaBeixiaohu Production,ChinaBeixiaohu Production,ChinaBeixiaohu Production
ChinaQijia Production,ChinaQijia Production,ChinaQijia Production
ChinaIngen Basin,ChinaIngen Basin,ChinaIngen Basin
ChinaChishui South,ChinaChishui South,ChinaChishui South
ChinaYupize,ChinaYupize,ChinaYupize
ChinaWuyang North,ChinaWuyang North,ChinaWuyang North
ChinaDongtai-Hexingchang,ChinaDongtai-Hexingchang,ChinaDongtai-Hexingchang
ChinaHuatugou,ChinaHuatugou,ChinaHuatugou
ChinaZhouqingzhuang,ChinaZhouqingzhuang,ChinaZhouqingzhuang
ChinaZhangjuhe,ChinaZhangjuhe,ChinaZhangjuhe
ChinaJiandingshan,ChinaJiandingshan,ChinaJiandingshan
ChinaGuancheng,ChinaGuancheng,ChinaGuancheng
ChinaDafeng-Xiaohai,ChinaDafeng-Xiaohai,ChinaDafeng-Xiaohai
ChinaLiuzhuang-Zhongyuan,ChinaLiuzhuang-Zhongyuan,ChinaLiuzhuang-Zhongyuan
ChinaTaijnar-Senan,ChinaTaijnar-Senan,ChinaTaijnar-Senan
ChinaWupu,ChinaWupu,ChinaWupu
ChinaTaolimiao,ChinaTaolimiao,ChinaTaolimiao
ChinaQiemo,ChinaQiemo,ChinaQiemo
ChinaLuntai YTF,ChinaLuntai YTF,ChinaLuntai
ChinaYurgun,ChinaYurgun,ChinaYurgun
ChinaXixiagou,ChinaXixiagou,ChinaXixiagou
ChinaBaiyinnuole YTF,ChinaBaiyinnuole YTF,ChinaBaiyinnuole
ChinaCuizhuang YTF,ChinaCuizhuang YTF,ChinaCuizhuang
ChinaAyouxi-Jinchang,ChinaAyouxi-Jinchang,ChinaAyouxi-Jinchang
ChinaHaifeng 20,ChinaHaifeng 20,ChinaHaifeng 20
ChinaDongming,ChinaDongming,ChinaDongming
ChinaBlock 28/20,ChinaBlock 28/20,ChinaBlock 28/20
ChinaKumuxi East,ChinaKumuxi East,ChinaKumuxi East
ChinaDazuizi,ChinaDazuizi,ChinaDazuizi
ChinaDayushu,ChinaDayushu,ChinaDayushu
ChinaTangyin,ChinaTangyin,ChinaTangyin
ChinaZhang Dong,ChinaZhang Dong,ChinaZhang Dong
ChinaPanjiang,ChinaPanjiang,ChinaPanjiang
ChinaSanggin Dalai Sag,ChinaSanggin Dalai Sag,ChinaSanggin Dalai Sag
ChinaHuizhou 31,ChinaHuizhou 31,ChinaHuizhou 31
ChinaPingxiang,ChinaPingxiang,ChinaPingxiang
ChinaHeidimiao YTF,ChinaHeidimiao YTF,ChinaHeidimiao
ChinaXiaoji,ChinaXiaoji,ChinaXiaoji
ChinaShigang,ChinaShigang,ChinaShigang
ChinaDingxi,ChinaDingxi,ChinaDingxi
ChinaKeshan,ChinaKeshan,ChinaKeshan
ChinaOlji,ChinaOlji,ChinaOlji
ChinaYian,ChinaYian,ChinaYian
ChinaTailai YTF,ChinaTailai YTF,ChinaTailai
ChinaGujiadian,ChinaGujiadian,ChinaGujiadian
ChinaLujiapu,ChinaLujiapu,ChinaLujiapu
ChinaGulong,ChinaGulong,ChinaGulong
ChinaNiqiuji,ChinaNiqiuji,ChinaNiqiuji
ChinaSebei 2,ChinaSebei 2,ChinaSebei 2
ChinaMufu,ChinaMufu,ChinaMufu
ChinaHong 3 - Han 3,ChinaHong 3 - Han 3,ChinaHong 3 - Han 3
ChinaKunnan Deep,ChinaKunnan Deep,ChinaKunnan Deep
ChinaHuhe Nur,ChinaHuhe Nur,ChinaHuhe Nur
ChinaToupeng,ChinaToupeng,ChinaToupeng
ChinaZhucheng 14,ChinaZhucheng 14,ChinaZhucheng 14
ChinaRongcheng 19,ChinaRongcheng 19,ChinaRongcheng 19
ChinaHuanjiang-Liuzhou,ChinaHuanjiang-Liuzhou,ChinaHuanjiang-Liuzhou
ChinaWan'an Bei 21,ChinaWan'an Bei 21,ChinaWan'an Bei 21
ChinaNanliang YTF,ChinaNanliang YTF,ChinaNanliang
ChinaAogula YTF,ChinaAogula YTF,ChinaAogula
ChinaYangjiaba YTF,ChinaYangjiaba YTF,ChinaYangjiaba
ChinaHongde-Qiaochuan,ChinaHongde-Qiaochuan,ChinaHongde-Qiaochuan
ChinaBonan Production,ChinaBonan Production,ChinaBonan Production
ChinaChaganhua,ChinaChaganhua,ChinaChaganhua
ChinaYuancheng YTF,ChinaYuancheng YTF,ChinaYuancheng
ChinaHaian,ChinaHaian,ChinaHaian
ChinaAmenzi,ChinaAmenzi,ChinaAmenzi
ChinaYingxiongtan,ChinaYingxiongtan,ChinaYingxiongtan
ChinaMobei Uplift,ChinaMobei Uplift,ChinaMobei Uplift
ChinaBoli,ChinaBoli,ChinaBoli
ChinaLunpola Middle-East,ChinaLunpola Middle-East,ChinaLunpola Middle-East
ChinaDamintun YTF,ChinaDamintun YTF,ChinaDamintun
ChinaShuangjing (Liangjing),ChinaShuangjing (Liangjing),ChinaShuangjing (Liangjing)
ChinaAnle,ChinaAnle,ChinaAnle
ChinaJiudong Thrust Belt,ChinaJiudong Thrust Belt,ChinaJiudong Thrust Belt
ChinaXintan,ChinaXintan,ChinaXintan
ChinaHuagou,ChinaHuagou,ChinaHuagou
ChinaDalian 16,ChinaDalian 16,ChinaDalian 16
ChinaDayangshu,ChinaDayangshu,ChinaDayangshu
ChinaShaxi,ChinaShaxi,ChinaShaxi
ChinaHaoxi,ChinaHaoxi,ChinaHaoxi
ChinaTokson,ChinaTokson,ChinaTokson
ChinaCiyutuo,ChinaCiyutuo,ChinaCiyutuo
ChinaQionghai 28,ChinaQionghai 28,ChinaQionghai 28
ChinaMiaowan YTF,ChinaMiaowan YTF,ChinaMiaowan
ChinaYakela YTF,ChinaYakela YTF,ChinaYakela
ChinaXinbei YTF,ChinaXinbei YTF,ChinaXinbei
ChinaShanle YTF,ChinaShanle YTF,ChinaShanle
ChinaUlan Nur,ChinaUlan Nur,ChinaUlan Nur
ChinaZhouji Field Zhou 22 Block,ChinaZhouji Field Zhou 22 Block,ChinaZhouji Field Zhou 22 Block
ChinaSuligemiao,ChinaSuligemiao,ChinaSuligemiao
ChinaBeiao,ChinaBeiao,ChinaBeiao
ChinaNanyishan,ChinaNanyishan,ChinaNanyishan
ChinaFuyang,ChinaFuyang,ChinaFuyang
China26/35,China26/35,China26/35
ChinaHejin-Yongji,ChinaHejin-Yongji,ChinaHejin-Yongji
ChinaYantai 06,ChinaYantai 06,ChinaYantai 06
ChinaNanchang,ChinaNanchang,ChinaNanchang
ChinaZheng An Shale Gas Block,ChinaZheng An Shale,ChinaZheng An Shale Gas Block
ChinaJixi,ChinaJixi,ChinaJixi
ChinaHuangtong-Bailian (Huachang),ChinaHuangtong-Bailian (Huachang),ChinaHuangtong-Bailian (Huachang)
ChinaYushe,ChinaYushe,ChinaYushe
ChinaXiaoguanmiao,ChinaXiaoguanmiao,ChinaXiaoguanmiao
ChinaNakun,ChinaNakun,ChinaNakun
ChinaQinjiatun YTF,ChinaQinjiatun YTF,ChinaQinjiatun
ChinaMazhai,ChinaMazhai,ChinaMazhai
ChinaYoushashan,ChinaYoushashan,ChinaYoushashan
ChinaHonghu Field Hong 1 Block,ChinaHonghu Field Hong 1 Block,ChinaHonghu Field Hong 1 Block
ChinaHongtai,ChinaHongtai,ChinaHongtai
ChinaLucheng,ChinaLucheng,ChinaLucheng
ChinaTanzhuang-Shenqiu,ChinaTanzhuang-Shenqiu,ChinaTanzhuang-Shenqiu
ChinaJinhu-Jinnan,ChinaJinhu-Jinnan,ChinaJinhu-Jinnan
ChinaChangjiang 25,ChinaChangjiang 25 (Dongfang 1-1),ChinaChangjiang 25 (Dongfang 1-1)
ChinaChangzhou-Taihu,ChinaChangzhou-Taihu,ChinaChangzhou-Taihu
ChinaMaola,ChinaMaola,ChinaMaola
ChinaJinteng Block 2,ChinaJinteng Block 2,ChinaJinteng Block 2
ChinaLenghu 3,ChinaLenghu 3,ChinaLenghu 3
ChinaHouwujiahu Bawu Production,ChinaHouwujiahu Bawu Production,ChinaHouwujiahu Bawu Production
ChinaJiyuan,ChinaJiyuan,ChinaJiyuan
ChinaJiuhe,ChinaJiuhe,ChinaJiuhe
ChinaLenghu,ChinaLenghu,ChinaLenghu
ChinaXide-Zhaojue,ChinaXide-Zhaojue,ChinaXide-Zhaojue
ChinaTaiping,ChinaTaiping,ChinaTaiping
ChinaTawong,ChinaTawong,ChinaTawong
ChinaJinggu,ChinaJinggu,ChinaJinggu
ChinaYangsanmu,ChinaYangsanmu,ChinaYangsanmu
ChinaYangerzhuang Youyi Fault Block,ChinaYangerzhuang Youyi Fault Block,ChinaYangerzhuang Youyi Fault Block
ChinaZhaozhuang,ChinaZhaozhuang,ChinaZhaozhuang
ChinaNingbo,ChinaNingbo,ChinaNingbo
ChinaCaozhuang YTF,ChinaCaozhuang YTF,ChinaCaozhuang
ChinaTankou,ChinaTankou,ChinaTankou
ChinaXingxi YTF,ChinaXingxi YTF,ChinaXingxi
ChinaMafang YTF,ChinaMafang YTF,ChinaMafang
ChinaYanchang YTF,ChinaYanchang YTF,ChinaYanchang
ChinaDashuikeng YTF,ChinaDashuikeng YTF,ChinaDashuikeng
ChinaSangtamu YTF,ChinaSangtamu YTF,ChinaSangtamu
ChinaShuntuoguoluo South,ChinaShuntuoguoluo South,ChinaShuntuoguoluo South
ChinaYinger,ChinaYinger,ChinaYinger
ChinaHangxi,ChinaHangxi,ChinaHangxi
ChinaZhuangxi,ChinaZhuangxi,ChinaZhuangxi
ChinaGuangli,ChinaGuangli,ChinaGuangli
ChinaTahe 6,ChinaTahe 6,ChinaTahe 6
ChinaLiujiazhuang,ChinaLiujiazhuang,ChinaLiujiazhuang
ChinaMinhe,ChinaMinhe,ChinaMinhe
ChinaGuizhong,ChinaGuizhong,ChinaGuizhong
ChinaUliastai,ChinaUliastai,ChinaUliastai
ChinaGuyuan-Jingyuan,ChinaGuyuan-Jingyuan,ChinaGuyuan-Jingyuan
ChinaShuntuoguoluo,ChinaShuntuoguoluo,ChinaShuntuoguoluo
ChinaPutaohua,ChinaPutaohua,ChinaPutaohua
ChinaHonggang YTF,ChinaHonggang YTF,ChinaHonggang
