assetKey,projectKey,locationKey
New ZealandPEP 60092,New ZealandPEP 60092,New ZealandPEP 60092
New ZealandPEP 60093,New ZealandPEP 60093,New ZealandPEP 60093
New ZealandPEP 60097,New ZealandPEP 60097,New ZealandPEP 60097
New ZealandPMP 52278,New ZealandPMP 52278,New ZealandPMP 52278
New ZealandPMP 51378,New ZealandPMP 51378,New ZealandPMP 51378
New ZealandPMP 38157,New ZealandPMP 38157,New ZealandPMP 38157
New ZealandPMP 38159,New ZealandPMP 38159,New ZealandPMP 38159
New ZealandPEP 60273,New ZealandPEP 60273,New ZealandPEP 60273
New ZealandPMP 38154,New ZealandPMP 38154,New ZealandPMP 38154
New ZealandPMP 50509,New ZealandPMP 50509,New ZealandPMP 50509
New ZealandOpen 2019 Mi - Taranaki Pacific Ocean Offshore 2,New ZealandTaranaki Offshore,New ZealandTasman Sea
New ZealandOpen 2021 Mi - Canterbury Pacific Ocean Offshore 1,New ZealandCanterbury Offshore,New ZealandPacific Ocean
AustraliaRough Range,AustraliaRough Range,AustraliaEP 435
AustraliaTimbury Hills,AustraliaRoma,AustraliaTimbury Hills
AustraliaPickanjinnie,AustraliaPickanjinnie,AustraliaPL 5 (Pickanjinnie)
AustraliaCabawin,AustraliaMoonie,AustraliaPL 1B (Cabawin)
AustraliaGlentulloch,AustraliaDenison Trough,AustraliaPL 45 (Glentulloch)
AustraliaSunnybank,AustraliaSunnybank,AustraliaATP 336-P (Sunnybank)
AustraliaBony Creek,AustraliaBony Creek,AustraliaPL 10 (Bony Creek)
AustraliaRichmond,AustraliaRichmond,AustraliaPL 7 (Richmond)
AustraliaGidgealpa,AustraliaSACB JV (Fixed Factor Area),AustraliaPPL 06 (Gidgealpa)
AustraliaMereenie,AustraliaMereenie,AustraliaPL 5 (Mereenie)
AustraliaBack Creek,AustraliaBack Creek,AustraliaPL 11 (Snake Creek)
AustraliaYardarino,AustraliaYardarino,AustraliaL 02 (Yardarino)
AustraliaBeaufort,AustraliaBeaufort,AustraliaPL 3 (Beaufort)
AustraliaBarrow Island,AustraliaBarrow Island,AustraliaL 10 (Barrow Island)
AustraliaOberina,AustraliaOberina,AustraliaPL 12 (Trinidad)
AustraliaMount Horner,AustraliaMount Horner,AustraliaL 07 (Mount Horner)
AustraliaMajor,AustraliaMajor,AustraliaPL 74 (Major)
AustraliaBarracouta,AustraliaBass Strait,AustraliaVIC/L01 (Barracouta)
AustraliaJulia Creek ( FFD ),AustraliaRoseneath Shale,AustraliaEPM 12863
AustraliaDongara,AustraliaDongara,AustraliaL 02 (Dongara)
AustraliaCaroline,AustraliaCaroline,AustraliaPPL 21 (Caroline)
AustraliaWallumbilla South,AustraliaGLNG field development,AustraliaWallumbilla South
AustraliaGolden Beach,AustraliaGolden Beach,AustraliaVIC/RL1 (V) (Golden Beach 1A)
AustraliaPringle Downs,AustraliaPringle Downs,AustraliaPL 6 (Hope Creek)
AustraliaYulleroo,AustraliaYulleroo and Pictor,AustraliaEP 391 (Yulleroo)
AustraliaTuna,AustraliaKipper Tuna Turrum,AustraliaVIC/L04 (Tuna)
AustraliaWhicher Range,AustraliaWhicher Range,AustraliaEP 408 (Whicher Range)
AustraliaRefinery gains,AustraliaRefinery gains,AustraliaAustralia
AustraliaLegendre North,AustraliaLegendre,AustraliaWA-20-L (Legendre)
AustraliaGrafton Range,AustraliaGrafton Range,AustraliaPL 13 (Grafton Range)
AustraliaFlinders Shoal,AustraliaVaranus Island Hub,AustraliaTR/1 (Flinders Shoal)
AustraliaRoseneath,AustraliaSWQ JV,AustraliaPL 63 (Epsilon)
AustraliaKincora,AustraliaKincora,AustraliaPL 14 (Kincora)
AustraliaBoxleigh,AustraliaSilver Springs,AustraliaPL 15 (Boxleigh)
AustraliaHogarth 2,AustraliaHogarth 2,AustraliaPEL 13 (Hogarth 2)
AustraliaNooroondoo,AustraliaNoorindoo,AustraliaPL 174 (Nooroondoo)
AustraliaPetrel,AustraliaBonaparte,AustraliaNT/RL1 (Petrel)
AustraliaTorosa,AustraliaBrowse LNG,AustraliaTR/5 (Torosa)
AustraliaNorth Rankin,AustraliaNorth West Shelf Venture,AustraliaNorth Rankin
AustraliaCoonatie,AustraliaSACB JV (Patchawarra East Area),AustraliaPPL 131 (Coonatie)
AustraliaRankin/Sculptor,AustraliaNorth West Shelf Greater Western Flank Ph II,AustraliaWA-24-L (Rankin)
AustraliaMermaid East,AustraliaMermaid East,AustraliaMermaid East
AustraliaPuffin,AustraliaPuffin,AustraliaAC/P22 (Puffin 2)
AustraliaPenguin (Polkadot),AustraliaPenguin,AustraliaWA-313-P
AustraliaRockwood,AustraliaRockwood,AustraliaATP 620-P (Rockwood)
AustraliaTryal Rocks West,AustraliaGreater Gorgon Area,AustraliaWA-5-R (Tryal Rocks West)
AustraliaSole,AustraliaSole,AustraliaVIC/RL3 (Sole)
AustraliaSunrise,AustraliaSunrise LNG,AustraliaNT/RL2 (Sunrise)
AustraliaNamur,AustraliaCooper Basin Fixed Facor Agreement,AustraliaPPL 16
AustraliaPoolowanna,AustraliaPoolowanna,AustraliaPoolowanna
AustraliaWarro,AustraliaWarro,AustraliaEP 407 (Warro)
AustraliaParknook,AustraliaParknook,AustraliaPL 71 (Namarah)
AustraliaJupiter,AustraliaScarborough,AustraliaWA-346-P
AustraliaBeldene,AustraliaBeldene,AustraliaPL 21 (Beldene)
AustraliaWoodada,AustraliaWoodada,AustraliaL 05 (Woodada)
AustraliaPhoenix,AustraliaRoc,AustraliaWA-435-P
AustraliaGemini 4,AustraliaGemini 4,AustraliaGemini 4
AustraliaNewstead,AustraliaNewstead,AustraliaPL 27 (Newstead)
AustraliaTubridgi,AustraliaTubridgi,AustraliaL 09 (Tubridgi)
AustraliaBlina,AustraliaBlina,AustraliaL 06 (Blina)
AustraliaWantana,AustraliaWantana,AustraliaPPL 102 (Wantana)
AustraliaSeahorse West,AustraliaSeahorse,AustraliaV03-1 (West Seahorse West)
AustraliaAvondale,AustraliaAvondale,AustraliaPL 28 (Avondale)
AustraliaPatricia Baleen,AustraliaPatricia Baleen,AustraliaVIC/L21 (Baleen)
AustraliaWaggamba,AustraliaWaggamba,AustraliaATP 471-P (Waggamba)
AustraliaSandy Creek,AustraliaSandy Creek,AustraliaSandy Creek
AustraliaWalker West,AustraliaWalker West,AustraliaEP-069 (Walker West)
AustraliaDingo (Amadeus basin),AustraliaRL-2 (Dingo),AustraliaRL-2 (Dingo)
AustraliaNovara,AustraliaConiston Development,AustraliaWA-155-P (Novara)
AustraliaSundown,AustraliaSundown,AustraliaL 08 (Terrace West)
AustraliaPepper South,AustraliaChervil,AustraliaTL/2 (Pepper South)
AustraliaMoomba NGL Plant (SA),AustraliaMoomba,AustraliaMoomba
AustraliaBambra,AustraliaHarriet Joint Venture,AustraliaTL/1 (Harriet)
AustraliaBasker,AustraliaBasker-Manta-Gummy,AustraliaVIC/L26 (Basker)
AustraliaNockatunga,AustraliaNockatunga,AustraliaPL 33
AustraliaJabiru,AustraliaJabiru,AustraliaAC/L1 (Jabiru)
AustraliaYambugle,AustraliaYambugle,AustraliaPL 53 (Yambugle)
AustraliaYarrabend,AustraliaYarrabend,AustraliaPL 27 (Yarrabend)
AustraliaTintaburra/Toobunyah,AustraliaCooper Oil Exploitation,AustraliaATP 299-P
AustraliaEchuca Shoals,AustraliaEchuca Shoals,AustraliaWA-377-P
AustraliaBodalla South,AustraliaBodalla South,AustraliaPL 31 (Bodalla South)
AustraliaBloodwood,AustraliaBloodwood,AustraliaPL 89 (Bloodwood)
AustraliaBellbird,AustraliaBellbird,AustraliaATP 552-P (Bellbird)
AustraliaTalisman,AustraliaTalisman,AustraliaWA-08-L (Talisman)
AustraliaAmulet (WA-8-L),AustraliaAmulet (WA-8-L),AustraliaWA-08-L (Amulet (WA-8-L))
AustraliaWest kora (redevelop),AustraliaKora West,AustraliaL98-2 (Kora West)
AustraliaChallis/Cassini,AustraliaChallis,AustraliaAC/L3 (Challis)
AustraliaWancoocha,AustraliaWancoocha,AustraliaPPL 31 (Wancoocha)
AustraliaSpencer,AustraliaSpencer,AustraliaPPL 37 (Spencer)
AustraliaMaxwell/Maxwell South,AustraliaMaxwell South,AustraliaPL 50 (Maxwell)
AustraliaMerrit,AustraliaMerrit,AustraliaPL 9 (Merrit)
AustraliaBaratta,AustraliaBaratta,AustraliaPPL 78 (Baratta)
AustraliaMuteroo,AustraliaMuteroo,AustraliaPPL 32 (Muteroo)
AustraliaLepena,AustraliaLepena,AustraliaPPL 40 (Lepena)
AustraliaSaladin,AustraliaThevenard Island,AustraliaTL/4 (Saladin)
AustraliaKenmore,AustraliaKenmore,AustraliaPL 32 (Kenmore)
AustraliaWeaber,AustraliaWeaber,AustraliaRL-1 (Weaber)
AustraliaYolla,AustraliaBassGass,AustraliaTL/1 (Yolla)
AustraliaKoora,AustraliaKoora,AustraliaPL 33 (Winna)
AustraliaWashpool,AustraliaWashpool,AustraliaPL 22 (Caxton)
AustraliaGlenvale,AustraliaGlenvale,AustraliaGlenvale
AustraliaNulla,AustraliaNulla,AustraliaPPL 127 (Nulla)
AustraliaFairymount,AustraliaFairymount,AustraliaPL 46 (Fairymount)
AustraliaLouise,AustraliaLouise,AustraliaPL 40 (Narrows)
AustraliaSkua,AustraliaMontara,AustraliaAC/P34 (Skua)
AustraliaDeepwater,AustraliaDeepwater,AustraliaPL 69 (Deepwater)
AustraliaByrock,AustraliaByrock,AustraliaATP 269-P (Byrock)
AustraliaLeatherjacket,AustraliaLeatherjacket,AustraliaVIC/P55 (Leatherjacket)
AustraliaBlack Stump,AustraliaBlack Stump,AustraliaPL 47 (Black Stump)
AustraliaGaranjanie,AustraliaGaranjanie,AustraliaPPL 59 (Garanjanie)
AustraliaThungo,AustraliaThungo 13,AustraliaPL 51 (Thungo)
AustraliaNungeroo,AustraliaNungeroo,AustraliaPPL 39 (Nungeroo)
